Central African Republic,2.8,3.2,3.6,4.0,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.6,4.7
Chad,6.0,7.0,8.4,10.1,12.0,12.4,12.8,13.2,13.7,14.1,14.6,15.0,15.5
Chile,13.3,14.4,15.3,16.2,17.1,17.2,17.4,17.6,17.8,18.0,18.2,18.5,18.7
China,1176.9,1240.9,1290.6,1330.8,1368.8,1376.5,1384.2,1391.9,1399.5,1406.8,1414.0,1421.0,1427.6
Colombia,33.1,36.4,39.6,42.6,45.2,45.7,46.1,46.5,47.0,47.5,48.2,48.9,49.7
Comoros,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8
Congo,2.4,2.7,3.1,3.6,4.3,4.4,4.5,4.6,4.7,4.9,5.0,5.1,5.2
Congo (Democratic Republic of the),34.6,41.6,47.1,54.8,64.6,66.8,69.0,71.4,73.8,76.2,78.8,81.4,84.1
Costa Rica,3.1,3.5,4.0,4.3,4.6,4.6,4.7,4.7,4.8,4.8,4.9,5.0,5.0
Croatia,4.8,4.6,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2
Cuba,10.6,10.9,11.1,11.3,11.2,11.2,11.3,11.3,11.3,11.3,11.3,11.3,11.3
Cyprus,0.8,0.9,0.9,1.0,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
Czechia,10.3,10.4,10.3,10.3,10.5,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.7
Côte d'Ivoire,11.9,14.2,16.5,18.4,20.5,21.0,21.5,22.1,22.6,23.2,23.8,24.4,25.1
Denmark,5.1,5.2,5.3,5.4,5.6,5.6,5.6,5.6,5.7,5.7,5.7,5.7,5.8
Djibouti,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0
Dominica,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Dominican Republic,7.1,7.8,8.5,9.1,9.7,9.8,9.9,10.0,10.2,10.3,10.4,10.5,10.6
Ecuador,10.2,11.5,12.7,13.8,15.0,15.2,15.5,15.7,16.0,16.2,16.5,16.8,17.1
Egypt,56.1,62.3,68.8,75.5,82.8,84.5,86.4,88.4,90.4,92.4,94.4,96.4,98.4
El Salvador,5.3,5.6,5.9,6.1,6.2,6.2,6.2,6.3,6.3,6.3,6.4,6.4,6.4
Equatorial Guinea,0.4,0.5,0.6,0.8,0.9,1.0,1.0,1.1,1.1,1.2,1.2,1.3,1.3
Eritrea,2.3,2.2,2.3,2.8,3.2,3.2,3.3,3.3,3.3,3.3,3.4,3.4,3.5
Estonia,1.6,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Eswatini (Kingdom of),0.8,0.9,1.0,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Ethiopia,47.9,57.0,66.2,76.3,87.6,90.1,92.7,95.4,98.1,100.8,103.6,106.4,109.2
Fiji,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Finland,5.0,5.1,5.2,5.3,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.5
France,56.7,57.8,59.0,61.1,62.9,63.2,63.6,63.9,64.2,64.5,64.7,64.8,65.0
Gabon,0.9,1.1,1.2,1.4,1.6,1.7,1.8,1.8,1.9,1.9,2.0,2.1,2.1
Gambia,1.0,1.1,1.3,1.5,1.8,1.8,1.9,2.0,2.0,2.1,2.1,2.2,2.3
Georgia,5.4,5.0,4.4,4.2,4.1,4.1,4.1,4.0,4.0,4.0,4.0,4.0,4.0
Germany,79.1,81.1,81.4,81.6,80.8,80.9,81.0,81.2,81.5,81.8,82.2,82.7,83.1
Ghana,14.8,17.0,19.3,21.8,24.8,25.4,26.0,26.6,27.2,27.8,28.5,29.1,29.8
Greece,10.2,10.7,11.1,11.2,10.9,10.8,10.8,10.7,10.7,10.7,10.6,10.6,10.5
Grenada,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Guatemala,9.3,10.4,11.7,13.1,14.6,14.9,15.3,15.6,15.9,16.3,16.6,16.9,17.2
Guinea,6.4,7.3,8.2,9.1,10.2,10.4,10.7,10.9,11.2,11.4,11.7,12.1,12.4
Guinea-Bissau,1.0,1.1,1.2,1.3,1.5,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.9
Guyana,0.7,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Haiti,7.0,7.7,8.5,9.2,9.9,10.1,10.3,10.4,10.5,10.7,10.8,11.0,11.1
Honduras,5.0,5.7,6.6,7.5,8.3,8.5,8.6,8.8,9.0,9.1,9.3,9.4,9.6
"Hong Kong, China (SAR)",5.7,6.1,6.6,6.8,7.0,7.0,7.0,7.1,7.1,7.2,7.2,7.3,7.4
Hungary,10.4,10.3,10.2,10.1,9.9,9.9,9.9,9.8,9.8,9.8,9.8,9.7,9.7
Iceland,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
