"Homicide rate (per 100,000 people)"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"170","Afghanistan","..","","..","","..","","..","","3.4","","4.1","","6.3","","..","","..","","10.0","","6.6","","7.1",""
"69","Albania","..","","8.3","","4.2","","5.0","","4.3","","4.9","","5.4","","4.2","","4.0","","2.8","","3.4","","2.3",""
"82","Algeria","..","","..","","..","","0.6","","0.7","","0.8","","1.4","","1.3","","1.5","","1.4","","..","","..",""
"36","Andorra","..","","..","","..","","..","","0.0","","1.2","","0.0","","0.0","","0.0","","0.0","","..","","..",""
"149","Angola","..","","..","","..","","..","","..","","4.4","","4.8","","..","","..","","..","","..","","..",""
"74","Antigua and Barbuda","1.5","","9.5","","6.0","","3.4","","6.3","","..","","10.3","","..","","..","","..","","..","","..",""
"48","Argentina","..","","..","","..","","..","","..","","..","","..","","..","","7.5","","6.5","","6.0","","5.1",""
"81","Armenia","5.0","","3.6","","3.0","","1.9","","1.9","","2.5","","2.3","","2.2","","2.5","","2.6","","3.0","","2.4",""
"6","Australia","2.2","","2.0","","1.9","","1.3","","1.0","","1.1","","1.1","","1.1","","1.0","","1.0","","0.9","","0.8",""
"20","Austria","1.2","","1.0","","1.0","","0.7","","0.7","","0.9","","0.9","","0.7","","0.5","","0.5","","0.7","","..",""
"87","Azerbaijan","4.5","","5.7","","2.8","","2.2","","2.3","","..","","2.2","","2.4","","2.5","","2.3","","2.1","","2.0",""
"60","Bahamas","17.6","","14.3","","24.8","","15.8","","26.1","","34.6","","29.8","","31.5","","32.4","","37.7","","28.4","","30.9",""
"45","Bahrain","..","","0.9","","..","","0.4","","0.9","","0.5","","0.3","","0.4","","0.5","","..","","..","","..",""
"135","Bangladesh","..","","..","","2.5","","2.5","","2.6","","2.6","","2.6","","2.8","","2.8","","2.5","","2.2","","2.2",""
"56","Barbados","13.1","","6.4","","7.4","","10.6","","11.1","","9.6","","7.8","","8.5","","8.8","","10.9","","7.7","","10.5",""
"50","Belarus","5.0","","9.5","","10.2","","8.6","","4.2","","3.9","","3.6","","3.5","","3.6","","..","","..","","..",""
"17","Belgium","1.0","","1.4","","2.1","","2.1","","1.7","","1.9","","1.8","","1.8","","1.9","","2.0","","1.5","","1.7",""
"103","Belize","..","","..","","16.6","","28.6","","40.1","","37.7","","43.1","","28.8","","35.0","","33.1","","37.6","","37.9",""
"163","Benin","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","1.1",""
"134","Bhutan","3.7","","3.1","","3.1","","1.7","","2.2","","4.3","","4.4","","3.1","","..","","1.5","","1.1","","1.6",""
"114","Bolivia (Plurinational State of)","..","","..","","..","","5.2","","12.8","","12.3","","11.9","","9.0","","8.9","","6.3","","6.3","","..",""
"75","Bosnia and Herzegovina","1.6","","..","","2.6","","1.9","","1.5","","1.4","","1.7","","1.3","","1.4","","1.6","","1.3","","1.2",""
"94","Botswana","..","","..","","..","","15.7","","15.0","","..","","..","","..","","..","","..","","..","","..",""
"79","Brazil","19.6","","20.9","","23.7","","23.3","","22.0","","24.2","","26.5","","26.8","","28.6","","28.4","","29.7","","30.5",""
"43","Brunei Darussalam","..","","..","","1.2","","0.5","","0.3","","0.3","","1.0","","0.5","","..","","..","","..","","..",""
"52","Bulgaria","2.6","","5.9","","4.2","","2.6","","2.0","","1.7","","1.9","","1.5","","1.6","","1.8","","1.1","","1.5",""
"182","Burkina Faso","..","","..","","..","","0.5","","0.8","","0.6","","0.7","","0.7","","0.7","","0.6","","1.1","","1.3",""
"185","Burundi","..","","..","","..","","..","","4.0","","3.9","","5.4","","5.4","","5.7","","4.5","","6.0","","..",""
"126","Cabo Verde","..","","..","","..","","9.3","","7.8","","10.4","","10.9","","10.4","","12.3","","8.6","","11.5","","..",""
"146","Cambodia","..","","3.7","","4.7","","3.4","","2.3","","1.8","","..","","..","","..","","..","","..","","..",""
"150","Cameroon","..","","..","","3.0","","..","","5.0","","4.1","","4.2","","..","","1.0","","1.2","","1.2","","1.4",""
"13","Canada","2.4","","2.0","","1.8","","2.1","","1.6","","1.8","","1.6","","1.4","","1.5","","1.7","","1.7","","1.8",""
"188","Central African Republic","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","19.8","","..",""
"42","Chile","..","","..","","..","","3.6","","3.2","","3.7","","2.5","","3.2","","..","","3.4","","3.4","","4.3",""
"85","China","..","","2.2","","2.1","","1.6","","1.0","","0.9","","0.8","","0.8","","0.7","","0.7","","0.6","","0.6",""
"79","Colombia","71.0","","59.6","","65.7","","41.8","","33.7","","34.8","","35.1","","32.6","","27.9","","26.5","","25.5","","24.9",""
"68","Costa Rica","4.5","","5.2","","6.3","","7.9","","11.6","","10.3","","8.7","","8.7","","10.0","","11.6","","11.9","","12.3",""
"46","Croatia","2.9","","3.6","","2.3","","1.6","","1.4","","1.1","","1.2","","1.1","","0.8","","0.9","","1.0","","1.1",""
"72","Cuba","..","","7.8","","5.3","","6.1","","4.5","","4.7","","5.5","","5.9","","5.2","","5.4","","5.0","","..",""
"31","Cyprus","0.7","","1.1","","0.8","","1.9","","0.7","","0.8","","1.9","","1.0","","1.0","","1.3","","1.1","","0.6",""
"26","Czechia","..","","1.7","","1.9","","1.1","","1.0","","0.8","","1.0","","0.8","","0.8","","0.8","","0.6","","0.6",""
